PROBEID	ENTREZID	SYMBOL	GENENAME
1007_s_at	780	DDR1	discoidin domain receptor tyrosine kinase 1
1053_at	5982	RFC2	replication factor C subunit 2
117_at	3310	HSPA6	heat shock protein family A (Hsp70) member 6
121_at	7849	PAX8	paired box 8
1255_g_at	2978	GUCA1A	guanylate cyclase activator 1A
1294_at	7318	UBA7	ubiquitin like modifier activating enzyme 7
1316_at	7067	THRA	thyroid hormone receptor alpha
1320_at	11099	PTPN21	protein tyrosine phosphatase non-receptor type 21
1405_i_at	6352	CCL5	C-C motif chemokine ligand 5
1431_at	1571	CYP2E1	cytochrome P450 family 2 subfamily E member 1
1438_at	2049	EPHB3	EPH receptor B3
1487_at	2101	ESRRA	estrogen related receptor alpha
1494_f_at	1548	CYP2A6	cytochrome P450 family 2 subfamily A member 6
1552256_a_at	949	SCARB1	scavenger receptor class B member 1
1552257_a_at	23170	TTLL12	tubulin tyrosine ligase like 12
1552258_at			
1552261_at	10406	WFDC2	WAP four-disulfide core domain 2
1552263_at	5594	MAPK1	mitogen-activated protein kinase 1
1552264_a_at	5594	MAPK1	mitogen-activated protein kinase 1
1552266_at	203102	ADAM32	ADAM metallopeptidase domain 32
1552269_at	128153	SPATA17	spermatogenesis associated 17
1552271_at	163154	PRR22	proline rich 22
1552272_a_at	163154	PRR22	proline rich 22
1552274_at	54899	PXK	PX domain containing serine/threonine kinase like
1552275_s_at	54899	PXK	PX domain containing serine/threonine kinase like
1552276_a_at	57617	VPS18	VPS18 core subunit of CORVET and HOPS complexes
1552277_a_at	91283	MSANTD3	Myb/SANT DNA binding domain containing 3
1552278_a_at	113235	SLC46A1	solute carrier family 46 member 1
1552279_a_at	113235	SLC46A1	solute carrier family 46 member 1
1552280_at	91937	TIMD4	T cell immunoglobulin and mucin domain containing 4
1552281_at	283375	SLC39A5	solute carrier family 39 member 5
1552283_s_at	653082	ZDHHC11B	zDHHC palmitoyltransferase 11B (putative)
1552283_s_at	79844	ZDHHC11	zDHHC palmitoyltransferase 11
1552286_at	90423	ATP6V1E2	ATPase H+ transporting V1 subunit E2
1552287_s_at	172	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene
1552288_at	148113	CILP2	cartilage intermediate layer protein 2
1552289_a_at	148113	CILP2	cartilage intermediate layer protein 2
1552291_at	54965	PIGX	phosphatidylinositol glycan anchor biosynthesis class X
1552293_at	256130	TMEM196	transmembrane protein 196
1552295_a_at	91252	SLC39A13	solute carrier family 39 member 13
1552296_at	266675	BEST4	bestrophin 4
1552299_at	221264	AK9	adenylate kinase 9
1552301_a_at	84940	CORO6	coronin 6
1552302_at	113277	TMEM106A	transmembrane protein 106A
1552303_a_at	113277	TMEM106A	transmembrane protein 106A
1552304_at	84920	ALG10	ALG10 alpha-1,2-glucosyltransferase
1552306_at	84920	ALG10	ALG10 alpha-1,2-glucosyltransferase
1552307_a_at	125488	TTC39C	tetratricopeptide repeat domain 39C
1552309_a_at	91624	NEXN	nexilin F-actin binding protein
1552310_at	123207	C15orf40	chromosome 15 open reading frame 40
1552311_a_at	84839	RAX2	retina and anterior neural fold homeobox 2
1552312_a_at	4238	MFAP3	microfibril associated protein 3
1552314_a_at	2140	EYA3	EYA transcriptional coactivator and phosphatase 3
1552315_at	170575	GIMAP1	GTPase, IMAP family member 1
1552316_a_at	170575	GIMAP1	GTPase, IMAP family member 1
1552318_at	170575	GIMAP1	GTPase, IMAP family member 1
1552319_a_at	11202	KLK8	kallikrein related peptidase 8
1552320_a_at	85478	DRC2	dynein regulatory complex subunit 2
1552321_a_at	85478	DRC2	dynein regulatory complex subunit 2
1552322_at	159091	PABIR3	PABIR family member 3
